symbol,buy,price,RSI14,VolumeMultiple
360ONE.NS,False,1181.699951171875,58.092499654544866,0.6662339281060458
3MINDIA.NS,False,35010.0,52.60416666666667,0.7132941804591564
ABB.NS,False,5204.0,56.889204545454554,0.46257517612488563
ACC.NS,False,1754.199951171875,23.091372427395683,4.53534237704443
ACMESOLAR.NS,False,235.94000244140625,71.03432441656255,0.3931509730981936
AIAENG.NS,False,3900.60009765625,50.23495204095172,2.4463961001276746
APLAPOLLO.NS,False,1867.9000244140625,74.38921174712641,0.7616341060028923
AUBANK.NS,False,980.3499755859375,63.28155295045732,0.6864331613986435
AWL.NS,False,239.35000610351562,38.61112017690015,0.8513578664272311
AADHARHFC.NS,False,480.8500061035156,47.38415641051374,0.695761549978887
AARTIIND.NS,False,383.3999938964844,58.519480448661646,1.802490503536935
AAVAS.NS,False,1483.0,53.25311304660802,1.1488685732792074
ABBOTINDIA.NS,False,28295.0,38.57965451055662,0.929482777315936
ACE.NS,False,973.75,50.16370031541119,1.5584321772402618
ADANIENSOL.NS,False,994.5999755859375,57.43923079093858,0.5502406659110877
ADANIENT.NS,False,2248.800048828125,58.18991226643242,0.370046733371459
ADANIGREEN.NS,False,1016.9000244140625,51.41915688560611,0.43038474447626873
ADANIPORTS.NS,False,1493.5999755859375,48.69344329255247,0.5837104483508174
ADANIPOWER.NS,False,144.3000030517578,48.604753288961504,0.6976290983511241
ATGL.NS,False,563.4000244140625,28.4792191711487,1.4747293595570303
ABCAPITAL.NS,False,346.79998779296875,47.464331659944094,0.59346532566637
ABFRL.NS,False,78.62999725341797,55.116407217487065,2.8363966025393763
ABLBL.NS,False,,,
ABREL.NS,False,1722.199951171875,44.084901239378105,0.3071604840584154
ABSLAMC.NS,False,775.8499755859375,72.8138557877771,0.7440193425019566
AEGISLOG.NS,False,734.4500122070312,36.37075391441423,0.47684205835554894
AEGISVOPAK.NS,False,,,
AFCONS.NS,False,382.8500061035156,33.471416861394445,1.3713400805644345
AFFLE.NS,False,1766.0,71.6259549979583,0.9750316316814209
AJANTPHARM.NS,False,2668.10009765625,59.18063989054562,1.852967001919556
AKUMS.NS,False,452.1499938964844,77.94641767229352,12.462132820421393
AKZOINDIA.NS,False,3150.5,28.14479439306531,0.103777163078458
APLLTD.NS,False,857.4000244140625,24.207964050940717,0.5727890762027629
ALKEM.NS,False,5597.0,45.73839662447257,0.39252590510085344
ALKYLAMINE.NS,False,1611.5999755859375,38.61865705936207,0.6313054911657723
ALOKINDS.NS,False,16.850000381469727,55.72756460033387,9.369743253401426
ARE&M.NS,False,932.0499877929688,42.60868065299613,0.9372718453907432
AMBER.NS,False,6654.5,38.7409200968523,0.3219903557428584
AMBUJACEM.NS,False,546.9000244140625,58.315361157249946,5.242942950034642
ANANDRATHI.NS,False,3030.5,68.66362246727161,0.8644176897391967
ANANTRAJ.NS,False,558.25,51.444583397061606,0.3206265542596091
ANGELONE.NS,False,2557.10009765625,40.34159686799346,0.443291473096721
APARINDS.NS,False,8891.5,55.23202911737944,0.9118836034342308
APOLLOHOSP.NS,False,7073.5,41.333333333333336,0.9150861378480549
APOLLOTYRE.NS,False,512.0999755859375,34.15634552446305,1.1498960228661408
APTUS.NS,False,282.3500061035156,57.9601950392971,0.33288787027944433
ASAHIINDIA.NS,False,986.2999877929688,33.46867969149669,0.5409670570881416
ASHOKLEY.NS,False,177.9600067138672,75.6130164509833,0.4179309739053778
ASIANPAINT.NS,False,2807.800048828125,28.642624781250333,0.392639619420635
ASTERDM.NS,False,597.3499755859375,22.799574124947355,0.9442293404398963
ASTRAZEN.NS,False,9139.5,51.43047238855622,0.6427921706027019
ASTRAL.NS,False,1417.0,51.30927548714741,0.6778910453714798
ATHERENERG.NS,False,,,
ATUL.NS,False,6090.5,62.97054009819968,2.2627977069124547
AUROPHARMA.NS,False,1218.0,52.56916342191187,0.955736839616873
AIIL.NS,False,2883.800048828125,67.76342475249437,0.3342148668252072
DMART.NS,False,3828.199951171875,42.020751247952745,0.7764366106576867
AXISBANK.NS,False,1225.0,32.80662725632763,0.7104059595258135
BASF.NS,False,3915.0,33.57506531788036,0.8972194002839131
BEML.NS,False,1837.0,56.405045243971934,2.3668701660930815
BLS.NS,False,322.5,47.674418604651166,0.3137025396747046
BSE.NS,False,2737.5,49.138143367791514,0.9217668587348643
BAJAJ-AUTO.NS,False,9099.0,54.45499773857983,0.6351349420130119
BAJFINANCE.NS,False,1011.4000244140625,45.53570942002369,0.7919211889339518
BAJAJFINSV.NS,False,2047.5999755859375,50.37770832168635,0.8473275803368499
BAJAJHLDNG.NS,False,11279.0,52.10022107590273,0.2793646960008583
BAJAJHFL.NS,False,95.8499984741211,43.92624827573652,0.12447161672862571
BALKRISIND.NS,False,2309.89990234375,31.67469588977511,0.5053980272299509
BALRAMCHIN.NS,False,442.79998779296875,49.40118697491606,0.21520378822432448
BANDHANBNK.NS,False,149.33999633789062,53.17302891380328,0.35332403085489106
BANKBARODA.NS,False,292.5,57.12435683768116,0.43965553863118273
BANKINDIA.NS,False,140.88999938964844,51.09705469782053,0.5340207793515209
MAHABANK.NS,False,57.70000076293945,58.128844316481775,0.3154757927693519
BATAINDIA.NS,False,950.4000244140625,40.32202062570671,0.4690659646946407
BAYERCROP.NS,False,4456.60009765625,44.208378560185274,0.6291730987408634
BERGEPAINT.NS,False,544.0499877929688,36.594549901815554,0.7468549612896133
BDL.NS,False,1431.4000244140625,43.394779978092345,0.8485805203926411
BEL.NS,False,399.3999938964844,45.919263855398604,0.7354571582708228
